Parameters,Age064,Age6579,Age80
B1_mean,0.1,0.1,0.1
B1_lower,0.08,0.08,0.08
B1_upper,1.2,1.2,1.2
B2_mean,0.1,0.1,0.1
B2_lower,0.08,0.08,0.08
B2_upper,1.2,1.2,1.2
omega_mean,0.196078431,0.196078431,0.196078431
omega_lower,0.222222222,0.222222222,0.222222222
omega_upper,0.172413793,0.172413793,0.172413793
gamma1_mean,0.050716256,0.043668122,0.044444444
gamma1_lower,0.055794832,0.047169811,0.052356021
gamma1_upper,0.046071775,0.04048583,0.038022814
gamma2_mean,0.035968976,0.030970299,0.031520883
gamma2_lower,0.039570803,0.033453767,0.03713193
gamma2_upper,0.032675018,0.028713355,0.026966535
gamma3_mean,0.035968976,0.030970299,0.031520883
gamma3_lower,0.039570803,0.033453767,0.03713193
gamma3_upper,0.032675018,0.028713355,0.026966535
hosrate_mean,0.202232206,0.3605,0.471220339
hosrate_lower,0.167067616,0.286,0.308254237
hosrate_upper,0.237396797,0.435,0.634186441
u_mean,0.231,0.229,0.229
u_lower,0.184,0.183,0.183
u_upper,0.277,0.271,0.271
delta_mean,0.008373432,0.098797655,0.2664
delta_lower,0.0073,0.095,0.2577
delta_upper,0.0095,0.1027,0.2756
